Center label photo,Title,Artist,Country,Year,Label,Type,Reference Price,Media Condition,Sleeve Condition
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769111166-4905782951710.webp,Mekanika,T.F.O.,Italy,1992,DJM Records,"Vinyl, 12"", 45 RPM, Stereo",£ 19.47,Near Mint (NM or M-),Near Mint (NM or M-)
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769111119-05520821918.webp,Figure Of Eight,Toddblaudthookerdrum,UK,1995-08-28,Virgin,Vinyl,£ 3.72,Very Good Plus (VG+),Very Good Plus (VG+)
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769111069-00134926746.webp,Too Hot To Handle Club E.P.,T.M.R. Inc,UK,1992,T.M.R. Inc,"Vinyl, 12"", 45 RPM, EP",£ 3.72,Near Mint (NM or M-),Near Mint (NM or M-)
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769110947-34664494394.webp,Lollipop Man,8 Bit Trip,UK,1993,Not On Label,Vinyl,£ 26.01,Near Mint (NM or M-),Near Mint (NM or M-)
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769110899-33592515312.webp,Secrets Of The Unknown,Synergy,Belgium,1991,Rave 55,"Vinyl, 12"", 33 ⅓ RPM",£ 3.12,Near Mint (NM or M-),Near Mint (NM or M-)
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769110762-48497184110.webp,Pedro Infinite Dub,Pedro Infante,,2003,Not On Label,Vinyl,£ 26.01,Near Mint (NM or M-),Near Mint (NM or M-)
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769103028-231246280022.webp,Happiness,Exterminator,UK,1991,Beat Freak Records,"Vinyl, 12"", 45 RPM",£ 10.92,Near Mint (NM or M-),Near Mint (NM or M-)
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769102971-813493834820.webp,Burn The Bastards,The KLF,UK,1988,KLF Communications,"Vinyl, 12"", 45 RPM",£ 13.82,Very Good Plus (VG+),Very Good Plus (VG+)
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769102918-975116488018.webp,Rumble,M-Beat,UK,1993,Renk Records,"Vinyl, 12"", 45 RPM, White Label",£ 20.73,Near Mint (NM or M-),Near Mint (NM or M-)
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769102875-445082747316.webp,Groove Attack,Disorder (3),US,1987,Rhythmaffrage Records,Vinyl,£ 18.58,Very Good Plus (VG+),Very Good Plus (VG+)
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769102818-32226454914.webp,Rollin' With The Punches,Simon Harris,UK,1992,Living Beat Records,Vinyl,£ 11.15,Near Mint (NM or M-),Near Mint (NM or M-)
https://static.vinylsnaps.com/app/prod/item/original_url/108211696728604672/1769102759-022671422412.webp,Closer To The Resurrection,Mum,UK,2023-09-29,Not On Label (Mum Self-released),Vinyl,£ 26.01,Very Good Plus (VG+),Very Good Plus (VG+)
